,L-Precision,L-Recall,L-Measure,Expanded L-Precision,Expanded L-Recall,Expanded L-Measure,ref_name,est_name
TRHTXSN149E3980990,0.46383966180454966,0.548952647399959,0.5028197943499464,0.58281139046371,0.7213250027171,0.644712362921548,Reference,Estimate
TRHTYMP127FA37D440,0.8193424179748143,0.7697341096125113,0.7937639196334397,0.8911549966423553,0.8618795541952252,0.8762728274328491,Reference,Estimate
TRHVAQI149E3ADE80E,0.7871921703726655,0.8334318086994063,0.8096523349276263,0.827266195827803,0.7987101198931137,0.812737400987525,Reference,Estimate
TRHVDQH149E334FF58,0.39670461716140926,0.4329526478925896,0.4140367876368067,0.6784417382879036,0.5963353308803866,0.6347443616144479,Reference,Estimate
TRHVVOF149E3C96BD8,0.6541965581207259,0.6110945146476638,0.6319114024795396,0.7777156400358247,0.7893560289577504,0.7834926014217041,Reference,Estimate
TRHWNTD127FACFF8AA,0.502658455684965,0.6805413046885588,0.5782283815483383,0.7769634886206609,0.7178077953847118,0.7462150963547768,Reference,Estimate
TRHXAEG149E358BF2D,0.6865005344120346,0.669310383865191,0.6777964832955068,0.6716073569348356,0.6747018025344067,0.6731510234958845,Reference,Estimate
TRHXPFS149E3EF0196,0.781377619878696,0.8244589623046148,0.8023403985197052,0.8681358436515356,0.8665477096376829,0.8673410496619729,Reference,Estimate
TRHXRQR127F8B51809,0.8083236490703932,0.8581333396534768,0.8324840991291836,0.9061937592190148,0.8879574469860613,0.896982923320949,Reference,Estimate
TRHYFAK149E2C9E220,0.8865390383405262,0.882799770554694,0.8846654532191897,0.9099885492292812,0.8959821366012396,0.9029310287460864,Reference,Estimate
TRHYUPT149E3D5A6F1,0.6657195938906284,0.7283806122641789,0.6956418817722652,0.7918383146567091,0.7591477072900659,0.7751484960019828,Reference,Estimate
TRIAHHW149E3B0BEF3,0.7487887626840053,0.8211120308004923,0.7832844777450872,0.8180468864854868,0.8368753729082857,0.8273540213723226,Reference,Estimate
TRIBNUC149E371A7EC,0.836874688678495,0.8382638849865055,0.8375687108006387,0.836874688678495,0.8382638849865055,0.8375687108006387,Reference,Estimate
TRIBTCS149E36ECCA2,0.5882379227989639,0.5982559338719083,0.5932046354296223,0.7710469011405379,0.6406867719296777,0.6998480797355642,Reference,Estimate
TRICODO149E31508F5,0.8831986028983775,0.833946367312928,0.8578661432555916,0.9080494256424491,0.9088786437124963,0.9084638454562759,Reference,Estimate
TRIDTWS149E37DBCD8,0.42491926468946584,0.5816654542193612,0.49108803751776825,0.5440034330619782,0.610313160538417,0.5752537153437858,Reference,Estimate
TRIFGVJ149E35F2A12,0.43645227048148255,0.37470879467660057,0.40323065598349445,0.45076014744457576,0.4788972181893017,0.4644028836035082,Reference,Estimate
TRIFHGO149E30A6AD0,0.6172678868213198,0.6128825127691079,0.6150673830658188,0.6960973613805344,0.6737027241956224,0.6847169796608655,Reference,Estimate
TRIFNCV149E3A1C47B,0.6911555643554635,0.6844982994363759,0.6878108234919929,0.7782969008366222,0.7862141069344187,0.7822354713794903,Reference,Estimate
TRIFUBS127F931792B,0.7115347129239369,0.6529545357319588,0.6809871438592582,0.7147557318053942,0.7324511659102251,0.7234952651597314,Reference,Estimate
TRIHBAE149E2BC4D19,0.6462887700235042,0.7791244094895313,0.7065170485883996,0.6428756903165549,0.7779148899160798,0.7039778822019525,Reference,Estimate
TRIHCIZ149E315BD00,0.7390068905144737,0.6941440205925576,0.715873269523408,0.7640027767405333,0.8110703820521071,0.7868333233420222,Reference,Estimate
TRIHSFS149E3814B5C,0.6846370542524508,0.5688703279471862,0.6214079168707427,0.6930684383229785,0.6970477677469292,0.6950524074454071,Reference,Estimate
TRIHXWN149E3398F19,0.6341419169497213,0.47040772278698545,0.5401391559861439,0.6668183026187461,0.693330694231766,0.6798161050761928,Reference,Estimate
TRIIODO149E34B404F,0.46061237821098727,0.4154273435774884,0.4368545670701962,0.48936114923565915,0.5036835446887538,0.49641906308547373,Reference,Estimate
TRIJTAH149E3ED5344,0.3118299108239928,0.15553130252549918,0.20754530248361944,0.4459274818309032,0.18107040953688744,0.25755835185579856,Reference,Estimate
TRIJZVA127F9FBCB2F,0.7388707684726308,0.7214591776382345,0.73006117339831,0.7385527742194077,0.7551225557643558,0.7467457582518641,Reference,Estimate
TRIKLPN149E32A6A4D,0.07884474965499065,0.197448689863725,0.11269027993664504,0.08134602092155692,0.23246789858271408,0.12051943757990291,Reference,Estimate
TRIKTBG149E383D8EB,0.580480721931283,0.6895676093715298,0.630339324642563,0.6531326901426512,0.6930296227364867,0.6724899330725321,Reference,Estimate
TRIKXOU149E2E17A5B,0.41574222594793964,0.43128784206047555,0.4233723789855454,0.49510692513581583,0.5103767384382558,0.5026258840065108,Reference,Estimate
TRILOSW149E30C29F7,0.8602255888948259,0.8765391333168392,0.8683057440119322,0.9033498212634712,0.8982189437107627,0.9007770761036548,Reference,Estimate
TRIMFLU127F88D9DC2,0.729822038573532,0.7714898552961953,0.7500777170022551,0.7691582058213656,0.7691121083120882,0.7691351563760225,Reference,Estimate
TRIMXXT149E369AFFA,0.6759906967624242,0.6582342678751238,0.6669943272942519,0.7253455448094519,0.7125160378921969,0.7188735548790666,Reference,Estimate
TRIMYHG149E3A00712,0.686297042864634,0.6462779195106866,0.6656865655621844,0.7851963022231528,0.8055488581063338,0.7952423812676137,Reference,Estimate
TRIQGJF149E3D7C8DF,0.4923555196374845,0.6085144451899734,0.5443066945974547,0.6299614162921027,0.5777639199977369,0.6027346887370478,Reference,Estimate
TRIRDCR127F98EF151,0.7474618615971017,0.6696130843291613,0.7063991131891706,0.7785293988487653,0.8494203258328157,0.8124313492173613,Reference,Estimate
TRIREHL149E30E3515,0.5237355295795503,0.3641234795180689,0.42958262837602534,0.6116307361875061,0.3800632574620092,0.46881068444076074,Reference,Estimate
