,Expanded L-Measure,Expanded L-Precision,Expanded L-Recall,L-Measure,L-Precision,L-Recall,est_name,ref_name
09_-_Words_of_Love,0.9461706516676613,0.9152914724050767,0.9792061187144032,0.9402012777399459,0.9132683684555013,0.9687709975457759,Isophonics,TUT
06_-_Mr._Moonlight,0.5301116519569082,0.5132156503001525,0.5481580206110835,0.46282656868333455,0.48185729668643146,0.44524194675774814,Isophonics,TUT
10_-_Honey_Don't,0.8431909307390836,0.8561154782138501,0.8306508164837079,0.8067244175206497,0.8514168079028487,0.7664899877573071,Isophonics,TUT
01_-_No_Reply,0.9135517271767958,0.911862537731302,0.9152471865509533,0.9073352914595313,0.9032153744830383,0.9114929657525614,Isophonics,TUT
03_-_Baby's_In_Black,0.9652169942320611,0.9671984669421646,0.9632436236997686,0.9420246168065577,0.9453499630282808,0.938722582939202,Isophonics,TUT
"07_-_Kansas_City-_Hey,_Hey,_Hey,_Hey",0.7673771012392032,0.7472735249220929,0.7885922575425691,0.4788242821428137,0.4813125645385544,0.47636159519329907,Isophonics,TUT
13_-_What_You're_Doing,0.9587818619419652,0.9610803709653676,0.9564943208644884,0.9572061314018895,0.9599019217493966,0.9545254403747037,Isophonics,TUT
04_-_Rock_and_Roll_Music,0.7071749412686243,0.7345598685980045,0.6817584878991527,0.6094163653731844,0.5986127967328111,0.6206170597808617,Isophonics,TUT
11_-_Every_Little_Thing,0.9825439904116692,0.9825836434988686,0.9825043405248161,0.9822748485528968,0.98283531234566,0.9817150236070161,Isophonics,TUT
02_-_I'm_a_Loser,0.8199776714332734,0.7521774534683342,0.9012116195622852,0.8954016838286247,0.8960805574434252,0.8947238380689411,Isophonics,TUT
12_-_I_Don't_Want_to_Spoil_the_Party,0.6187338269485463,0.6178501262462825,0.6196200591562497,0.5195014352138794,0.4984481164113873,0.5424116751006371,Isophonics,TUT
08_-_Eight_Days_a_Week,0.9440676863611973,0.984355604083599,0.9069479266954554,0.7252746712728536,0.7343116252572779,0.7164574433754826,Isophonics,TUT
05_-_Octopus's_Garden,0.9657679514282705,0.9779870442591401,0.95385042455224,0.9616176037296125,0.9746808087630263,0.948899928151931,Isophonics,TUT
06_-_I_Want_You,0.9854229904803602,0.987521654329148,0.9833332278027979,0.985944999519913,0.988063261795248,0.9838358003001046,Isophonics,TUT
10_-_Sun_King,0.901745916995024,0.9068753527615767,0.8966741807309611,0.9129613457408647,0.9137488718283057,0.9121751759632215,Isophonics,TUT
14_-_Golden_Slumbers,1.0,1.0,1.0,1.0,1.0,1.0,Isophonics,TUT
15_-_Carry_That_Weight,0.9948604660991825,0.9949755853336877,0.994745373500316,0.994509403077323,0.9949764106295443,0.9940428337138523,Isophonics,TUT
07_-_Here_Comes_The_Sun,0.835943525415018,0.875763123985607,0.7995875143308685,0.8078658603100699,0.8360697303800907,0.7815027459602573,Isophonics,TUT
03_-_Maxwell's_Silver_Hammer,0.9830876713482114,0.9900652871856859,0.9762077185553817,0.9828591661213877,0.9899472408213542,0.9758718718093777,Isophonics,TUT
01_-_Come_Together,0.6713258168590942,0.6367187738262933,0.7099110166565733,0.6185615319440503,0.6033650559336551,0.6345432688167806,Isophonics,TUT
04_-_Oh!_Darling,0.9160022161089209,0.8752700851102424,0.9607104550545644,0.749803871813469,0.7432947551402916,0.7564279977855604,Isophonics,TUT
11_-_Mean_Mr_Mustard,1.0,1.0,1.0,1.0,1.0,1.0,Isophonics,TUT
17_-_Her_Majesty,1.0,1.0,1.0,1.0,1.0,1.0,Isophonics,TUT
02_-_Something,0.9746268747976605,0.989735982855418,0.9599721355741947,0.9738784978266602,0.989034361017826,0.9591801180555313,Isophonics,TUT
08_-_Because,0.6749855078902566,0.6745733633871359,0.6753981563176218,0.7008414533332412,0.711867875971593,0.6901514062796282,Isophonics,TUT
12_-_Polythene_Pam,0.9935084491116053,0.9931882806623968,0.9938288240491371,0.9932230343202461,0.9928738166086419,0.9935724977748981,Isophonics,TUT
03_-_You've_Got_To_Hide_Your_Love_Away,0.8756899708559732,0.8360526398899456,0.9192727759697374,0.9858649846977701,0.9857769185429658,0.985953066589077,Isophonics,TUT
10_-_You_Like_Me_Too_Much,0.8973854274408891,0.9138295695057057,0.8815226407446798,0.8855676232372733,0.9118667675835095,0.86074294089088,Isophonics,TUT
01_-_Help!,0.9833155317363017,0.9837901697772504,0.982841351460922,0.982824295817717,0.9837205355594144,0.9819296876664918,Isophonics,TUT
11_-_Tell_Me_What_You_See,0.9622367580556302,0.9627208825133791,0.9617531202574998,0.9615373781787154,0.9613629366179406,0.9617118830566406,Isophonics,TUT
13_-_Yesterday,0.9674815000300434,0.9852108138908339,0.9503790003953007,0.9669605932669167,0.9845525508026026,0.9499862651596463,Isophonics,TUT
07_-_Ticket_To_Ride,0.9637602581756917,0.983150657318474,0.9451199282225815,0.9658483503979498,0.9854554722440318,0.947006234093508,Isophonics,TUT
02_-_The_Night_Before,0.9464453044527914,0.945854301336833,0.9470370465896845,0.9145923327149972,0.8925606569118038,0.937739180440621,Isophonics,TUT
04_-_I_Need_You,0.9319965885009535,0.9280904314630665,0.9359357650636839,0.9234583918031997,0.9164219918003212,0.9306036805446881,Isophonics,TUT
05_-_Another_Girl,0.92635901187041,0.9476704339800496,0.9059850205485211,0.915190954380963,0.9468047565943519,0.8856201070592006,Isophonics,TUT
08_-_Act_Naturally,0.9728849391316028,0.9886772380387354,0.9575892141783813,0.9724804132428926,0.9883300325801864,0.95713112356804,Isophonics,TUT
12_-_I've_Just_Seen_a_Face,0.9515951756906734,0.9647465427564644,0.9387975438235404,0.9498426744949696,0.9614384522567905,0.9385232735711946,Isophonics,TUT
09_-_It's_Only_Love,0.894836181929077,0.9109114125730883,0.8793184847557991,0.891391074323734,0.9100932341843196,0.8734420852598459,Isophonics,TUT
"CD1_-_04_-_Ob-La-Di,_Ob-La-Da",0.997541726192701,0.9976380634270484,0.9974454075622281,0.997424737379849,0.9975601682011314,0.997289343326309,Isophonics,TUT
CD1_-_13_-_Rocky_Raccoon,0.9498703879580931,0.9704828605284245,0.9301152981465611,0.9506716571384303,0.971795984639823,0.9304461675536952,Isophonics,TUT
CD1_-_10_-_I'm_So_Tired,0.9275244216875609,0.9303588158122222,0.9247072454122544,0.9189102977011195,0.9165356689187889,0.921297263176016,Isophonics,TUT
CD1_-_14_-_Don't_Pass_Me_By,0.7574010229330703,0.7691669014765793,0.7459896842461085,0.7149120245366024,0.7343730802843919,0.6964557858240616,Isophonics,TUT
CD1_-_16_-_I_Will,0.9889956673996643,0.9891956048265229,0.988795810779668,0.9863314506444606,0.9839312407236814,0.988743399384458,Isophonics,TUT
CD1_-_15_-_Why_Don't_We_Do_It_In_The_Road,0.8832003088459343,0.8173301814143867,0.960618285467473,0.3957614881883513,0.2974516265937314,0.5911361607410988,Isophonics,TUT
CD1_-_07_-_While_My_Guitar_Gently_Weeps,0.9794201428089099,0.9901323634518733,0.9689372318368529,0.9794032200767329,0.9901523053401478,0.9688850123704578,Isophonics,TUT
