,thirds,thirds_inv,triads,triads_inv,tetrads,tetrads_inv,root,mirex,majmin,majmin_inv,sevenths,sevenths_inv,underseg,overseg,seg,Expanded L-Precision,Expanded L-Recall,Expanded L-Measure,ref_name,est_name
TRURDSZ149E345C5E5,0.6644635135572248,0.6557647469194035,0.5168083137813271,0.5081095471435058,0.1710283988333998,0.16232963219557844,0.7991305828169115,0.6458134702643894,0.7230734344570603,0.7108836673558268,0.2674879138711874,0.2538179845506893,0.9104842757829752,0.6733089597719756,0.6733089597719756,0.6336297705151922,0.6212627805877626,0.6273853370911564,Reference,Estimate
TRURGJW149E382760F,0.9441980010037332,0.941557242393924,0.9441980010037332,0.941557242393924,0.8109810718964523,0.8083403132866431,0.9457212975178717,0.9457212975178717,0.9441980010037332,0.941557242393924,0.8109810718964523,0.8083403132866431,0.955830487439405,0.9520169034891008,0.9520169034891008,0.8846056900805022,0.8295137826922312,0.8561744077065728,Reference,Estimate
TRURKRH127FA94ED0D,0.6346372075895855,0.6303972420877153,0.6215229858325066,0.6176799426323205,0.5427924685543708,0.5416017016493182,0.6403264821598125,0.6660368626082883,0.6215229858325066,0.6176799426323205,0.5427924685543708,0.5416017016493182,0.9310833381785728,0.7318727154679521,0.7318727154679521,0.5850559529647282,0.6051782941707078,0.5949470273801044,Reference,Estimate
TRURONL127F9B8C2A1,0.729121514874606,0.4355605171421798,0.4415260432531218,0.4219751108403556,0.3961611940298503,0.37661026161708416,0.7870791620130634,0.8387924591173666,0.754695310375104,0.72127712988305,0.7141496488820722,0.6789056832228764,0.9199698243476482,0.7753269232070944,0.7753269232070944,0.6544373931749184,0.6104751090746201,0.6316922921869461,Reference,Estimate
TRURRNF149E38B4203,0.544765840404849,0.5184321501325568,0.051010929610517286,0.05047588982246443,0.051010929610517286,0.05047588982246443,0.8028072898164498,0.5475272893075603,0.5475272893075603,0.5417844242576383,0.5475272893075603,0.5417844242576383,0.7923082771693006,0.8719701870740523,0.7923082771693006,0.5952752146276413,0.6077226729675345,0.6014345466690804,Reference,Estimate
TRUTQGW149E34A8F14,0.6021397991593584,0.593609759733126,0.5769180044583553,0.5693126939254944,0.5705224437219895,0.5629171331891286,0.6434060049655025,0.6176822516655701,0.645069395491696,0.6365656687401531,0.6661062280966152,0.6572267444438811,0.8264759155343825,0.8226212889628883,0.8226212889628883,0.5057984119672507,0.46557259250191757,0.48485259876916625,Reference,Estimate
TRUUEXF149E34280DE,0.9192751532672965,0.8862213665250993,0.9192751532672965,0.8862213665250993,0.7319177360540406,0.7310363017409154,0.9192751532672965,0.919715870423859,0.9193776685578211,0.8859029601547311,0.7911040471852544,0.7901513359472392,0.9512126860863871,0.9336414458419225,0.9336414458419225,0.8567480444002701,0.8074044618336781,0.8313447128490643,Reference,Estimate
TRUUONV127FA28B9D4,0.37793195018870984,0.37342406641504533,0.22570995397051108,0.22540138314461705,0.22570995397051108,0.22540138314461705,0.6332978055009338,0.4357939677560987,0.6605288624288941,0.6596258453797073,0.6605288624288941,0.6596258453797073,0.67905123511198,0.8468524721073329,0.67905123511198,0.45378044241756244,0.41356514738800615,0.4327404848908796,Reference,Estimate
TRUVBWF149E3D3E15D,0.805213080715188,0.805213080715188,0.7551121196154453,0.7551121196154453,0.7551121196154453,0.7551121196154453,0.920781694392885,0.9089983679591614,0.8023777773768674,0.8023777773768674,0.8023777773768674,0.8023777773768674,0.9177585965279184,0.8318136899272747,0.8318136899272747,0.8363478910393192,0.7819447146664432,0.8082318496850724,Reference,Estimate
TRUVTJT127F66937C8,0.9482985782399127,0.9450704413577833,0.9073099850840192,0.9040818482018897,0.5098870006811335,0.506658863799004,0.9482985782399127,0.9073099850840192,0.9533080023854303,0.9499162082102075,0.5357368110708246,0.5323450168956018,0.9104153367303811,0.9128148176887982,0.9104153367303811,0.8508215905131876,0.8456720794966124,0.848239019631292,Reference,Estimate
